CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
01214-100	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01215-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01215-001	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01215-010	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01215-020	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01215-900	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01215-959	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-001	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-011	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-012	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-959	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-970	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-971	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01216-999	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01217-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01217-010	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01217-011	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01217-020	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01218-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01218-011	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01218-012	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01218-020	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
